AudioMoth ES ID Number,Latitude,Longitude,Eclipse Type,Coverage Percent,FirstContactDate,FirstContactTimeUTC,SecondContactTimeUTC,ThirdContactTimeUTC,FourthContactTimeUTC,TotalEclipseTimeUTC,Notes,Successful,Needs split
56,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
57,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
58,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
59,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
60,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
61,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
62,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
63,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
64,34.3943196,-92.8361688,Total,100,2024-04-08,17:32:00,18:50:00,18:52:45,20:10:19,18:51:22,Failed Deployment,NO,NO
65,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
66,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
67,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
68,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,Good deployment,YES,YES
69,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
70,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
71,32.8984253,-96.9337889,Total,100,2024-04-08,17:23:14,18:40:53,18:44:07,20:02:29,18:42:30,1970s,NO,YES
72,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
73,36.8,-90.4,Total,100,2024-04-08,17:39:41,18:56:16,19:00:25,20:15:50,18:58:21,Good deployment,YES,YES
74,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
75,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
76,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
77,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
78,44.74256,-72.58918,Total,100,2024-04-08,18:15:10,19:26:45,19:30:06,20:37:43,19:28:26,Good deployment,YES,NO
79,40.42048,-86.00942,Total,100,2024-04-08,17:51:34,19:07:45,19:09:34,20:23:33,19:08:40,No Files,NO,
80,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
81,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
82,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
83,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
84,45.053473,-71.390429,Total,100,2024-04-08,18:16:59,19:28:12,19:31:27,20:38:38,19:29:50,No Files,NO,
85,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
86,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
87,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
88,45.051337,-71.347422,Total,100,2024-04-08,18:17:02,19:28:15,19:31:29,20:38:40,19:29:53,No Files,NO,
89,42.12702,-80.08697,Total,100,2024-04-08,18:02:19,19:16:16,19:19:59,20:30:44,19:18:08,Good deployment,YES,YES
90,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
91,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
92,42.000989,-80.439561,Total,100,2024-04-08,18:01:40,19:15:43,19:19:27,20:30:21,19:17:35,Failed on the 8th,NO,YES
93,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
94,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
95,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
96,40.9226,-83.98505,Total,100,2024-04-08,17:55:11,19:10:07,19:13:48,20:26:09,19:11:58,Good deployment,YES,YES
97,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
98,33.89,-94.7515,Total,100,2024-04-08,17:28:13,18:45:23,18:49:42,20:06:57,18:47:33,1970s,NO,YES
99,41.2753704,-82.2342006,Total,100,2024-04-08,17:58:12,19:12:44,19:16:36,20:28:15,19:14:40,No Files,NO,
100,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
101,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
102,37.8664,-90.531098,Total,100,2024-04-08,17:41:11,18:58:43,19:00:01,20:16:22,18:59:22,1970s,NO,YES
103,43.79568,-72.18011,Partial,98.89,2024-04-08,18:15:10,0,0,20:38:10,19:28:43,Good deployment,YES,YES
104,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
105,29.620494,-99.528884,Total,100,2024-04-08,17:13:17,18:30:39,18:35:02,19:54:12,18:32:50,Good deployment,YES,NO
106,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
107,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
108,42.866523,-78.667772,Total,100,2024-04-08,18:05:07,19:18:30,19:22:15,20:32:16,19:20:23,Good deployment,YES,YES
109,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
110,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
111,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
112,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
113,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
114,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
115,39.93902,-86.26903,Total,100,2024-04-08,17:50:32,19:06:11,19:09:32,20:23:02,19:07:52,Good deployment,YES,YES
116,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
117,32.725876,-114.61021,Partial,59.64,2024-04-08,17:04:53,0,0,19:28:45,18:14:57,Good deployment,YES,YES
118,34.947778,-81.933056,Partial,81.23,2024-04-08,17:51:40,0,0,20:24:56,19:09:49,Good deployment,YES,YES
119,41.883889,-87.912778,Partial,93.31,2024-04-08,17:51:00,0,0,20:21:34,19:07:12,Good deployment,YES,YES
120A,38.48651,-89.85468,Partial,99.84,2024-04-08,17:43:09,0,0,20:17:40,19:01:06,1970s,NO,YES
120,31.053038,-97.640924,Total,100,2024-04-08,17:18:45,18:36:20,18:40:28,19:59:11,18:38:24,Good deployment,YES,YES
121,32.833662,-97.272222,Total,100,2024-04-08,17:22:38,18:40:42,18:42:59,20:01:53,18:41:51,Good deployment,YES,YES
122,25.50617936,-80.43085617,Partial,45.81,2024-04-08,17:46:47,0,0,20:12:27,19:00:56,Good deployment,YES,YES
123A,135,-61.3,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,17:46:49,No Files,NO,
123,38.97196,-77.54668,Partial,88.43,2024-04-08,18:03:22,0,0,20:32:22,19:19:45,No Files,NO,
124,30.351576,-99.270759,Total,100,2024-04-08,17:15:04,18:32:23,18:36:40,19:55:37,18:34:31,Failed Deployment,NO,NO
125,40.491146,-74.445,Partial,89.66,2024-04-08,18:09:39,0,0,20:35:51,19:24:49,No Files,NO,
126,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
127,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
128,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
129,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
130,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
131,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
132,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
133,32.977989,-111.517212,Partial,66.38,2024-04-08,17:07:37,0,0,19:35:35,18:19:54,No Files,NO,
134,35.61292,-93.83612,Total,100,2024-04-08,17:32:36,18:50:42,18:52:08,20:09:56,18:51:25,Good deployment,YES,YES
135,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
136,27.670518,-97.32774,Partial,93.06,2024-04-08,17:12:57,0,0,19:54:55,18:33:09,Good deployment,YES,YES
137,44.02991,-92.84913,Partial,77.57,2024-04-08,17:48:25,0,0,20:15:11,19:02:15,No Files,NO,
138,34.56449,-92.3477,Total,100,2024-04-08,17:33:02,18:51:38,18:53:10,20:11:12,18:52:24,Good deployment,YES,YES
139,35.43789,-97.51955,Partial,93.62,2024-04-08,17:27:14,0,0,20:04:01,18:45:21,Good deployment,YES,YES
140,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
141,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
142,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
143,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
144,41.55425,-72.6633606,Partial,91.39,2024-04-08,18:13:08,0,0,20:37:39,19:27:31,Good deployment,YES,YES
145,39.78128,-104.8407,Partial,65.32,2024-04-08,17:28:18,0,0,19:54:12,18:40:32,1970s,NO,YES
146,32.82625,-97.18712,Total,100,2024-04-08,17:22:44,18:40:38,18:43:19,20:02:00,18:41:58,Good deployment,YES,YES
147,32.04413,-106.62485,Partial,80.73,2024-04-08,17:09:46,0,0,19:44:25,18:25:39,Good deployment,YES,YES
148,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
149,29.3465422,-99.13989529,Total,100,2024-04-08,17:13:19,18:31:18,18:34:43,19:54:28,18:33:01,Good deployment,YES,YES
150,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
151,27.4726593,-99.4748946,Partial,97.89,2024-04-08,17:09:14,0,0,19:51:09,18:29:08,1970s,NO,YES
152,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
153,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
154,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
155,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
156,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
157,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
158,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
159,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
160,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
161,40.62757591,-96.95340501,Partial,79.76,2024-04-08,17:37:47,0,0,20:08:11,18:52:59,No Files,NO,
162,30.31421,-97.72242,Total,100,2024-04-08,17:17:14,18:36:01,18:38:03,19:58:06,18:37:02,No Files,NO,
163,30.95447,-95.91512,Partial,98.59,2024-04-08,17:21:10,0,0,20:01:48,18:41:08,Good deployment,YES,YES
164,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
165,33.025997,-96.545349,Total,100,2024-04-08,17:24:02,18:41:28,18:45:12,20:03:15,18:43:20,No Files,NO,
166,0,0,None,0,2024-04-08,NaN:NaN,0,0,NaN:NaN,19:50:44,No Files,NO,
167,30.3537946,-93.1822415,Partial,90.49,2024-04-08,17:24:37,0,0,20:05:08,18:44:50,Good deployment,YES,YES
