AudioMoth ES ID Number
1
2
4
12
14
15
16
34
53
55
64
71
73
78
89
92
96
98
102
103
105
108
115
117
118
119
120
121
122
124
134
136
138
139
144
145
146
147
149
151
163
167
169
171
172
174
175
177
186
191
193
196
197
198
200
201
202
204
206
208
209
211
217
230
231
232
236
239
240
242
243
244
246
247
249
253
255
258
259
261
264
266
271
272
275
278
281
282
286
288
289
290
292
294
296
297
298
301
305
310
312
313
317
319
322
323
329
333
334
341
343
345
349
350
356
362
367
373
375
377
380
381
383
384
391
395
407
408
416
418
419
426
428
430
431
432
433
435
437
438
439
440
441
442
443
446
447
448
449
452
455
457
462
468
469
473
491
501
502
504
505
515
516
517
518
519
755
756
757
758
759
760
761
762
763
764
768
769
770
779
782
783
786
787
788
789
791
792
800
805
806
807
809
810
811
812
820
828
829
830
833
834
835
836
841
847
849
862
863
865
866
870
874
876
877
878
881
883
887
890
891
901
902
903
905
906
907
913
914
916
917
918
919
920
922
923
926
928
929
930
933
936
937
938
940
945
948
953
960
961
962
963
120A
