ESID,Start Date,Start Time,Time Zone,Can Update,Not Enough Data
203,ND,ND,ND,0,1
241,ND,9:31:00,US/Central,0,1
279,2024-04-06,10:04:00,US/Eastern,1,0
368,2024-04-06,11:15:00,US/Eastern,1,0
394,ND,10:18:00,ND,0,1
411,ND,11:11:00,US/Eastern,0,1
428,ND,ND,ND,0,1
480,ND,ND,ND,0,1
481,ND,ND,ND,0,1
485,ND,ND,ND,0,1
781,ND,ND,ND,0,1
794,2024-04-06,10:30:00,US/Eastern,0,1
839,2024-04-06,11:29:00,US/Eastern,0,1
852,ND,ND,ND,0,1
